MERCHANT_ID,MERCHANT_NAME,BUSINESS_ACTIVITY,BUSINESS_ACTIVITY_CATEGORY,MERCHANT_COUNTRY,MERCHANT_ADDRESS_LINE_1,MERCHANT_CITY,MERCHANT_ZIP,START_OF_MERCHANT_REPORTING,LATEST_MODE_CUSTOMER_CLASSIFICATION,TPV_BUCKET_PER_CUSTOMER_ID,ROLLING_12M_ADJUSTED_TPV,TRX_VOLUME_EUR_30D
5022102.0,Ship Store Kft.,Sports/Recreation,Leisure & Entertainment,HUN,Baross utca 167.,Balatonfoldvar,8623,2024-03-14 00:00:00,Micro,Non-Transacting,0.0,0.0
5022103.0,Cousin FagyizÃ³ SZNCS,Fast Food Restaurant,Food and Beverage,HUN,RÃ¡kÃ³czi Ãºt 79/3.,Vacegres,2184,2024-03-14 00:00:00,Small,25-35K,16935.385124412,0.0
5022104.0,Cousin FagyizÃ³ FEZSOLC,Fast Food Restaurant,Food and Beverage,HUN,Kassai utca 6.,Vacegres,2184,2024-03-14 00:00:00,Small,25-35K,16935.385124412,0.0
5022106.0,Alexandra McQuaid,Beauty / Barber,"Health, Beauty & Wellness",GBR,Brass Hair Studio ,Edinburgh,EH3 6QG,2024-03-14 00:00:00,Small,5-7.5K,6308.952646523,6340.52
5022107.0,SIMONS BURGER GYÅR,Fast Food Restaurant,Food and Beverage,HUN,Baross GÃ¡bor Ãºt 11-13.,Budapest,1052,2024-03-14 00:00:00,Medium,35-50K,40013.606602588,33947.1
5022108.0,Crepes and Donuts ,Fast Food Restaurant,Food and Beverage,GBR,31 Stanley Way,Lutterworth,LE17 4FB,2024-03-14 00:00:00,Small,5-7.5K,5234.556049239,62.67
5022110.0,StÃ¡nek,Fast Food Restaurant,Food and Beverage,CZE,U DÃ¡lnice 777,Brno - Zidenice,63600,2024-03-14 00:00:00,Small,10-12.5K,10664.591561207,1514.39
5022111.0,Roaring Fire Installations ,"Furniture, Home Furnishings, and Equipment Stores",Retail,GBR,27-29 Church Street,Dromore,BT25 1AT,2024-03-14 00:00:00,Micro,<2.5K,2290.605243611,2983.7
5022112.0,Thermo Prime,Craftsman/Contractor,Services,PRT,"Rua Almirante Reis 19, Loja R/C",POVOA DE VARZIM,4490-409,2024-03-14 00:00:00,Micro,5-7.5K,6823.919081016,0.0
5022115.0,KR karfa,Sports/Recreation,Leisure & Entertainment,ISL,Frostaskjoli 2,Reykjavik,107,2024-03-14 00:00:00,Small,20-25K,0.0,17183.9
5022118.0,AzziPizza,CafÃ©/Restaurant,Food and Beverage,HUN,RÃ¡kÃ³czi utca 9/4,Delegyhaza,2337,2024-03-14 00:00:00,Medium,25-35K,28820.462958568,29311.58
5022119.0,Abdul Motin Souvenirs,"Card Shops, Gift, Novelty, and Souvenir Shops",Retail,PRT,Rua de Belomonte 23-25,Porto,4000-427,2024-03-14 00:00:00,Micro,Non-Transacting,0.0,0.0
5022120.0,Vale Touring Caravan,Hospitality and Experiences,Leisure & Entertainment,GBR,Vale Hotel and Touring Park,Cardiff,CG62 3BT,2024-03-14 00:00:00,Micro,2.5-5K,1178.049485949,2316.82
5022121.0,SatÃ©lite Prematuro,CafÃ©/Restaurant,Food and Beverage,PRT,Rua do DiÃ¡rio de NotÃ­cias 132,LISBOA,1200 - 059,2024-03-14 00:00:00,Micro,Non-Transacting,0.0,0.0
5022124.0,Top Market,Food/Grocery/Convenience/Corner Shops,Retail,HUN,FÅ‘ utca 88.,Budapest,1036,2024-03-14 00:00:00,Small,15-20K,17561.714846268,14506.9
5022125.0,Indulge Cafe & Deli Portuguese Cafe,Fast Food Restaurant,Food and Beverage,GBR,46 High Street ,Hounslow,TW3 1NW,2024-03-14 00:00:00,Small,7.5-10K,9880.006469367,0.0
5022126.0,GORILLA VAPES,Tobacco/Cigar/Vape/E-Cigarette Shop,Retail,GBR,LM26 Lakeside Shopping Centre,Grays,RM20 2ZP,2024-03-14 00:00:00,Medium,Non-Transacting,0.0,0.0
5022129.0,Cherry Cash and Carry,Food/Grocery/Convenience/Corner Shops,Retail,GBR, G S R Self Storage,Dagenham,RM9 6PR,2024-03-14 00:00:00,Small,Non-Transacting,0.0,0.0
5022131.0,Misina Cafe,CafÃ©/Restaurant,Food and Beverage,HUN, Misina tetÅ‘ 2,PÃ©cs,7626,2024-03-14 00:00:00,Medium,50-65K,10155.278284602,50440.73
5022134.0,CSOPAK BISZTRÃ“,Bar/Pub/Club,Food and Beverage,HUN,ZrÃ­nyi MiklÃ³s utca 71,Lebeny,9155,2024-03-14 00:00:00,Micro,<2.5K,1099.605076433,1550.01
5022136.0,CAP CARS,Motor Vehicles (new vehicles only),Retail,GBR,177 A Brent Crescent ,London,NW10 7XR,2024-03-14 00:00:00,Medium,10-12.5K,10905.346411281,0.0
5022137.0,patisserie Les 3 chocolats,Bakery,Food and Beverage,GBR,26 Thames street ,Kingston upon Thames,kt1 1pe,2024-03-14 00:00:00,Small,15-20K,18687.691838241,17988.01
5022144.0,PARSONS GREEN FISH BAR,Fast Food Restaurant,Food and Beverage,GBR,34 Parsons Green Lane ,London,SW6 4HS,2024-03-14 00:00:00,Medium,25-35K,26844.42159906,24902.75
5022145.0,Italbolt Ã©s Ã‰lelmiszerÃ¼zlet,Food/Grocery/Convenience/Corner Shops,Retail,HUN,RÃ¡kÃ³czi Utca 3/B.,BikÃ¡cs,7043,2024-03-14 00:00:00,Small,5-7.5K,4923.391324698,7185.08
5022146.0,"OvÄÃ­n, ovcin.sk",Sports/Recreation,Leisure & Entertainment,SVK, HornÃ© Jaseno 160,Turcianske Jaseno,038 02,2024-03-14 00:00:00,Small,5-7.5K,0.0,7365.23
5022147.0,Neon Bar,Bar/Pub/Club,Food and Beverage,SVK,HlavnÃ¡ 9,Kosice,040 18,2024-03-14 00:00:00,Micro,2.5-5K,2951.693069032,2185.0
5022148.0,HEREFORD MOBILE ACCESSORIES LIMITED,Hardware/Computer/Electronics Shops,Retail,GBR,8 Commercial Street,Hereford,HR1 2DB,2024-03-14 00:00:00,Micro,<2.5K,1326.363634459,660.98
5022149.0,Zen,"Drugstores, Chemists, Pharmacies","Health, Beauty & Wellness",GBR,53 Beauchamp Place,London,SW3 1NY,2024-03-14 00:00:00,Medium,35-50K,6612.330197576,38347.59
5022150.0,Lavish Eyes & Brows ,Beauty / Barber,"Health, Beauty & Wellness",GBR,Burton Place ,Burton-on-Trent,DE14 1BU,2024-03-14 00:00:00,Micro,Non-Transacting,0.0,0.0
5022152.0,Helka Centrum Optika,Medical Services,"Health, Beauty & Wellness",HUN,Lehel u. 5.,Budapest,1022,2024-03-14 00:00:00,Small,7.5-10K,6269.077892892,9659.99
5022153.0,Jullyanne Britto,CafÃ©/Restaurant,Food and Beverage,PRT,"PraÃ§a 25 de Abril, 5 2 P",Coimbra,3030-320,2024-03-14 00:00:00,Micro,Non-Transacting,0.0,0.0
5022154.0,Bistro U Krocana,Fast Food Restaurant,Food and Beverage,CZE,Vitice 119,Vitice,281 06,2024-03-14 00:00:00,Small,12.5-15K,0.0,444.95
5022155.0,SHAWARMA GRILL,Food/Grocery/Convenience/Corner Shops,Retail,GBR,351 PAISLEY ROAD WEST,Edinburgh,EH11 2LA,2024-03-14 00:00:00,Medium,20-25K,24229.023418287,0.0
5022156.0,Showmenâ€™s Guild of GB (London section A),Events/Festivals,Leisure & Entertainment,GBR,41 Clarence Street ,Staines,TW18 4SY,2024-03-14 00:00:00,Medium,50-65K,2138.220217762,0.0
5022157.0,Darjeeling Tandoori ,Fast Food Restaurant,Food and Beverage,GBR,135 Tilbury Road,London,E10 6RE,2024-03-14 00:00:00,Medium,<2.5K,231.907837487,0.0
5022159.0,The Showmenâ€™s Guild of GB (London Region B),Events/Festivals,Leisure & Entertainment,GBR,41 Clarence Street ,Staines,TW18 4SY,2024-03-14 00:00:00,Medium,50-65K,2138.220217762,0.0
5022163.0,Pizza Plaza ,Fast Food Restaurant,Food and Beverage,GBR,241 Waterloo Street,Burton-on-Trent,DE14 2NJ,2024-03-14 00:00:00,Small,10-12.5K,10564.515631337,9676.31
